datahora,Q
1931-12-12 07:00:00,695.60
1931-12-13 07:00:00,688.00
1931-12-14 07:00:00,680.40
1931-12-15 07:00:00,658.20
1931-12-16 07:00:00,636.60
1931-12-17 07:00:00,607.10
1931-12-18 07:00:00,568.00
1931-12-19 07:00:00,530.40
1931-12-20 07:00:00,483.10
1931-12-21 07:00:00,456.80
1931-12-22 07:00:00,417.80
1931-12-23 07:00:00,369.50
1931-12-24 07:00:00,346.20
1931-12-25 07:00:00,339.80
1931-12-26 07:00:00,343.00
1931-12-27 07:00:00,380.00
1931-12-28 07:00:00,463.30
1931-12-29 07:00:00,447.20
1931-12-30 07:00:00,437.60
1931-12-31 07:00:00,421.20
1932-01-01 07:00:00,440.80
1932-01-02 07:00:00,557.60
1932-01-03 07:00:00,582.00
1932-01-04 07:00:00,603.40
1932-01-05 07:00:00,640.20
1932-01-06 07:00:00,633.00
1932-01-07 07:00:00,575.00
1932-01-08 07:00:00,544.00
1932-01-09 07:00:00,516.80
1932-01-10 07:00:00,486.40
1932-01-11 07:00:00,486.40
1932-01-12 07:00:00,493.00
1932-01-13 07:00:00,466.60
1932-01-14 07:00:00,434.40
1932-01-15 07:00:00,397.40
1932-01-16 07:00:00,366.00
1932-01-17 07:00:00,333.40
1932-01-18 07:00:00,317.70
1932-01-19 07:00:00,296.00
1932-01-20 07:00:00,280.00
1932-01-21 07:00:00,267.20
1932-01-22 07:00:00,264.00
1932-01-23 07:00:00,264.00
1932-01-24 07:00:00,264.00
1932-01-25 07:00:00,260.90
1932-01-26 07:00:00,280.00
1932-01-27 07:00:00,299.10
1932-01-28 07:00:00,336.60
1932-01-29 07:00:00,343.00
1932-01-30 07:00:00,352.60
1932-01-31 07:00:00,380.00
1932-02-01 07:00:00,404.20
1932-02-02 07:00:00,444.00
1932-02-03 07:00:00,557.60
1932-02-04 07:00:00,589.00
1932-02-05 07:00:00,618.20
1932-02-06 07:00:00,643.80
1932-02-07 07:00:00,661.80
1932-02-08 07:00:00,699.40
1932-02-09 07:00:00,695.60
1932-02-10 07:00:00,680.40
1932-02-11 07:00:00,676.60
1932-02-12 07:00:00,672.80
1932-02-13 07:00:00,654.60
1932-02-14 07:00:00,625.60
1932-02-15 07:00:00,603.40
1932-02-16 07:00:00,585.50
1932-02-17 07:00:00,571.50
1932-02-18 07:00:00,561.00
1932-02-19 07:00:00,578.50
1932-02-20 07:00:00,568.00
1932-02-21 07:00:00,564.50
1932-02-22 07:00:00,516.80
1932-02-23 07:00:00,503.20
1932-02-24 07:00:00,483.10
1932-02-25 07:00:00,463.30
1932-02-26 07:00:00,453.60
1932-02-27 07:00:00,456.80
1932-02-28 07:00:00,444.00
1932-02-29 07:00:00,437.60
1932-03-01 07:00:00,489.70
1932-03-02 07:00:00,589.00
1932-03-03 07:00:00,603.40
1932-03-04 07:00:00,621.90
1932-03-05 07:00:00,625.60
1932-03-06 07:00:00,610.80
1932-03-07 07:00:00,629.30
1932-03-08 07:00:00,599.70
1932-03-09 07:00:00,578.50
1932-03-10 07:00:00,554.20
1932-03-11 07:00:00,537.20
1932-03-12 07:00:00,506.60
1932-03-13 07:00:00,473.20
1932-03-14 07:00:00,453.60
1932-03-15 07:00:00,431.20
1932-03-16 07:00:00,404.20
1932-03-17 07:00:00,380.00
1932-03-18 07:00:00,355.80
1932-03-19 07:00:00,336.60
1932-03-20 07:00:00,317.70
1932-03-21 07:00:00,305.30
1932-03-22 07:00:00,302.20
1932-03-23 07:00:00,320.80
1932-03-24 07:00:00,349.40
1932-03-25 07:00:00,411.00
1932-03-26 07:00:00,447.20
1932-03-27 07:00:00,530.40
1932-03-28 07:00:00,614.50
1932-03-29 07:00:00,741.20
1932-03-30 07:00:00,800.00
1932-03-31 07:00:00,792.00
1932-04-01 07:00:00,784.00
1932-04-02 07:00:00,752.80
1932-04-03 07:00:00,695.60
1932-04-04 07:00:00,633.00
1932-04-05 07:00:00,618.20
1932-04-06 07:00:00,582.00
1932-04-07 07:00:00,527.00
1932-04-08 07:00:00,493.00
1932-04-09 07:00:00,486.40
1932-04-10 07:00:00,460.00
1932-04-11 07:00:00,434.40
1932-04-12 07:00:00,460.00
1932-04-13 07:00:00,486.40
1932-04-14 07:00:00,513.40
1932-04-15 07:00:00,621.90
1932-04-16 07:00:00,607.10
1932-04-17 07:00:00,603.40
1932-04-18 07:00:00,707.00
1932-04-19 07:00:00,914.40
1932-04-20 07:00:00,1660.00
1932-04-21 07:00:00,1777.00
1932-04-22 07:00:00,1833.20
1932-04-23 07:00:00,1833.20
1932-04-24 07:00:00,1755.00
1932-04-25 07:00:00,1650.00
1932-04-26 07:00:00,1520.00
1932-04-27 07:00:00,1453.00
1932-04-28 07:00:00,1369.00
1932-04-29 07:00:00,1325.00
1932-04-30 07:00:00,1295.00
1932-05-01 07:00:00,1277.00
1932-05-02 07:00:00,1259.00
1932-05-03 07:00:00,1234.00
1932-05-04 07:00:00,1170.00
1932-05-05 07:00:00,1111.00
1932-05-06 07:00:00,1006.00
1932-05-07 07:00:00,964.80
1932-05-08 07:00:00,931.20
1932-05-09 07:00:00,865.00
1932-05-10 07:00:00,784.00
1932-05-11 07:00:00,737.40
1932-05-12 07:00:00,684.20
1932-05-13 07:00:00,596.00
1932-05-14 07:00:00,527.00
1932-05-15 07:00:00,483.10
1932-05-16 07:00:00,450.40
1932-05-17 07:00:00,428.00
1932-05-18 07:00:00,407.60
1932-05-19 07:00:00,397.40
1932-05-20 07:00:00,387.00
1932-05-21 07:00:00,362.50
1932-05-22 07:00:00,352.60
1932-05-23 07:00:00,352.60
1932-05-24 07:00:00,376.50
1932-05-25 07:00:00,684.20
1932-05-26 07:00:00,808.00
1932-05-27 07:00:00,737.40
1932-05-28 07:00:00,669.00
1932-05-29 07:00:00,603.40
1932-05-30 07:00:00,547.40
1932-05-31 07:00:00,513.40
1932-06-01 07:00:00,499.80
1932-06-02 07:00:00,479.80
1932-06-03 07:00:00,456.80
1932-06-04 07:00:00,444.00
1932-06-05 07:00:00,582.00
1932-06-06 07:00:00,665.40
1932-06-07 07:00:00,661.80
1932-06-08 07:00:00,661.80
1932-06-09 07:00:00,661.80
1932-06-10 07:00:00,640.20
1932-06-11 07:00:00,610.80
1932-06-12 07:00:00,575.00
1932-06-13 07:00:00,575.00
1932-06-14 07:00:00,547.40
1932-06-15 07:00:00,499.80
1932-06-16 07:00:00,499.80
1932-06-17 07:00:00,486.40
1932-06-18 07:00:00,463.30
1932-06-19 07:00:00,453.60
1932-06-20 07:00:00,434.40
1932-06-21 07:00:00,453.60
1932-06-22 07:00:00,554.20
1932-06-23 07:00:00,554.20
1932-06-24 07:00:00,506.60
1932-06-25 07:00:00,486.40
1932-06-26 07:00:00,473.20
1932-06-27 07:00:00,460.00
1932-06-28 07:00:00,499.80
1932-06-29 07:00:00,496.40
1932-06-30 07:00:00,483.10
1932-07-01 07:00:00,479.80
1932-07-02 07:00:00,479.80
1932-07-03 07:00:00,496.40
1932-07-04 07:00:00,506.60
1932-07-05 07:00:00,479.80
1932-07-06 07:00:00,453.60
1932-07-07 07:00:00,428.00
1932-07-08 07:00:00,407.60
1932-07-09 07:00:00,387.00
1932-07-10 07:00:00,362.50
1932-07-11 07:00:00,352.60
1932-07-12 07:00:00,333.40
1932-07-13 07:00:00,317.70
1932-07-14 07:00:00,302.20
1932-07-15 07:00:00,286.40
1932-07-16 07:00:00,276.80
1932-07-17 07:00:00,264.00
1932-07-18 07:00:00,251.60
1932-07-19 07:00:00,245.40
1932-07-20 07:00:00,236.10
1932-07-21 07:00:00,226.80
1932-07-22 07:00:00,220.60
1932-07-23 07:00:00,214.40
1932-07-24 07:00:00,208.20
1932-07-25 07:00:00,202.00
1932-07-26 07:00:00,195.80
1932-07-27 07:00:00,192.70
1932-07-28 07:00:00,192.70
1932-07-29 07:00:00,189.60
1932-07-30 07:00:00,189.60
1932-07-31 07:00:00,189.60
1932-08-01 07:00:00,186.50
1932-08-02 07:00:00,180.30
1932-08-03 07:00:00,180.30
1932-08-04 07:00:00,195.80
1932-08-05 07:00:00,220.60
1932-08-06 07:00:00,289.60
1932-08-07 07:00:00,352.60
1932-08-08 07:00:00,473.20
1932-08-09 07:00:00,516.80
1932-08-10 07:00:00,520.20
1932-08-11 07:00:00,513.40
1932-08-12 07:00:00,493.00
1932-08-13 07:00:00,463.30
1932-08-14 07:00:00,421.20
1932-08-15 07:00:00,380.00
